				
Time	keytime	target	cy	hy
990.176	41.51527	-1	-0.1065063	2.159048
990.205	41.52527	-1	-0.1397705	2.134272
990.229	41.53527	-1	-0.09188843	2.086766
990.267	41.56248	-1	-0.1564636	2.143237
990.31	41.57248	-1	-0.2124023	2.071028
990.339	41.58247	-1	-0.2245483	1.995668
990.375	41.60566	-1	-0.2333679	2.009065
990.398	41.61566	-1	-0.2084656	1.981989
990.435	41.63385	-1	-0.2065735	1.905933
990.471	41.64385	-1	-0.2254028	1.820654
990.498	41.65385	-1	-0.2523499	1.758622
990.528	41.66385	-1	-0.2752991	1.730663
990.572	41.68308	-1	-0.2800293	1.712502
990.602	41.69828	-1	-0.2839966	1.696998
990.634	41.71497	-1	-0.2843628	1.65739
990.676	41.72496	-1	-0.2932129	1.635186
990.721	41.73895	-1	-0.3068542	1.5942
990.725	41.74895	-1	-0.3068542	1.5942
990.769	41.76408	-1	-0.3170471	1.573451
990.802	41.78122	-1	-0.3449707	1.517176
990.828	41.79122	-1	-0.3735352	1.490736
990.869	41.80511	-1	-0.6134338	1.434392
990.897	41.81511	-1	-0.6759644	1.404163
990.936	41.84036	-1	-1.197968	0.7857733
990.974	41.85036	-1	-1.520172	0.5845895
991.001	41.86036	-1	-1.964722	0.09620652
991.026	41.87036	-1	-2.681305	-0.7841187
991.077	41.88036	-1	-4.135223	-2.257568
991.104	41.89035	-1	-5.021118	-3.216858
991.136	41.90035	-1	-5.988281	-4.256897
991.173	41.92529	-1	-8.45636	-7.040466
991.211	41.93529	-1	-9.587097	-8.152496
991.24	41.94529	-1	-10.75726	-9.232269
991.267	41.95528	-1	-11.93713	-10.3075
991.303	41.98008	-1	-15.03226	-13.04813
991.347	41.99008	-1	-16.17929	-14.10757
991.374	42.00008	-1	-17.25668	-15.36957
991.401	42.01007	-1	-18.28464	-16.51749
991.427	42.02007	-1	-19.38171	-17.76407
991.482	42.03007	-1	-21.05862	-19.36548
991.506	42.04007	-1	-21.65405	-20.00314
991.534	42.05007	-1	-22.16156	-20.52756
991.571	42.07617	-1	-22.86929	-21.16171
991.614	42.08617	-1	-22.97427	-21.3396
991.642	42.09617	-1	-23.04135	-21.31042
991.668	42.10617	-1	-23.07788	-21.43246
991.706	42.13293	-1	-22.97171	-21.36487
991.747	42.14293	-1	-22.95078	-21.30334
991.775	42.15293	-1	-22.97284	-21.26007
991.802	42.16293	-1	-23.05283	-21.39615
991.829	42.17292	-1	-23.16248	-21.50809
991.869	42.19924	-1	-23.41772	-21.69006
991.901	42.21611	-1	-23.55106	-21.80432
991.936	42.23439	-1	-23.70648	-22.01892
991.967	42.24439	-1	-23.77167	-22.10425
992.002	42.25248	-1	-23.96542	-22.30917
992.033	42.2668	-1	-24.03989	-22.30225
992.067	42.28459	-1	-24.07983	-22.37872
992.105	42.29459	-1	-24.09332	-22.44272
995.136	42.30459	3	-1.632965	0.2627511
995.168	42.32658	3	-1.622711	0.2393787
995.201	42.3455	3	-1.605286	0.3310742
995.238	42.3555	3	-1.594116	0.356717
995.267	42.3655	3	-1.594818	0.3622173
995.297	42.3755	3	-1.573303	0.5016696
995.328	42.3855	3	-1.570038	0.5101357
995.368	42.40067	3	-1.531891	0.4924743
