Time	keytime	target	cameray	heady	camerax	headx	cameraz	headz	
9.377	0.01218884	0	0	0	0	0	0	0	
9.388	0.02453925	0	0	0	0	0	0	0	
9.402	0.0379986	0	0	0	0	0	0	0	
9.416	0.05255346	0	0	0	0	0	0	0	
9.427	0.06363059	0	0	0	0	0	0	0	
9.442	0.0781491	0	0	0	0	0	0	0	
9.458	0.09420757	0	0	0	0	0	0	0	
9.480	0.1152644	0	0	0	0	0	0	0	
9.492	0.1281584	0	0	0	0	0	0	0	
9.503	0.1388428	0	0	0	0	0	0	0	
9.514	0.1498563	0	0	0	0	0	0	0	
9.524	0.1601062	0	0	0	0	0	0	0	
9.540	0.1755958	0	0	0	0	0	0	0	
9.551	0.1867816	0	0	0	0	0	0	0	
9.562	0.1979586	0	0	0	0	0	0	0	
9.575	0.2114713	0	0	0	0	0	0	0	
9.589	0.225385	0	0	0	0	0	0	0	
9.604	0.2399766	0	0	0	0	0	0	0	
9.616	0.251386	0	0	0	0	0	0	0	
9.640	0.2759612	0	0	0	0	0	0	0	
9.653	0.2894861	0	0	0	0	0	0	0	
9.668	0.3044831	0	0	0	0	0	0	0	
9.682	0.3185157	0	0	0	0	0	0	0	
9.695	0.33113	0	0	0	0	0	0	0	
9.708	0.344056	0	0	0	0	0	0	0	
9.722	0.3580514	0	0	0	0	0	0	0	
9.735	0.370913	0	0	0	0	0	0	0	
9.748	0.3844399	0	0	0	0	0	0	0	
9.763	0.3990134	0	0	0	0	0	0	0	
9.775	0.4110525	0	0	0	0	0	0	0	
9.788	0.4247963	0	0	0	0	0	0	0	
9.802	0.438132	0	0	0	0	0	0	0	
9.816	0.4524253	0	0	0	0	0	0	0	
9.828	0.4642029	0	0	0	0	0	0	0	
9.841	0.4777393	0	0	0	0	0	0	0	
9.855	0.4907996	0	0	0	0	0	0	0	
9.868	0.5037857	0	0	0	0	0	0	0	
9.886	0.5219028	0	0	0	0	0	0	0	
9.896	0.5323691	0	0	0	0	0	0	0	
9.907	0.5434692	0	0	0	0	0	0	0	
9.921	0.5571347	0	0	0	0	0	0	0	
9.934	0.5702844	0	0	0	0	0	0	0	
9.949	0.5848997	0	0	0	0	0	0	0	
9.960	0.5965397	0	0	0	0	0	0	0	
9.974	0.6104178	0	0	0	0	0	0	0	
9.991	0.6273818	0	0	0	0	0	0	0	
10.004	0.6399898	0	0	0	0	0	0	0	
10.014	0.6503787	0	0	0	0	0	0	0	
10.026	0.6630685	0	0	0	0	0	0	0	
10.041	0.6770248	0	0	0	0	0	0	0	
10.057	0.6924757	0	0	0	0	0	0	0	
10.067	0.7036054	0	0	0	0	0	0	0	
10.080	0.7162718	0	0	0	0	0	0	0	
10.095	0.7306828	0	0	0	0	0	0	0	
10.107	0.7432557	0	0	0	0	0	0	0	
10.122	0.7580444	0	0	0	0	0	0	0	
10.135	0.7711972	0	0	0	0	0	0	0	
10.149	0.7851124	0	0	0	0	0	0	0	
10.160	0.7968651	0	0	0	0	0	0	0	
10.174	0.8101771	0	0	0	0	0	0	0	
10.188	0.8247529	0	0	0	0	0	0	0	
10.200	0.8367797	0	0	0	0	0	0	0	
10.216	0.8517707	0	0	0	0	0	0	0	
10.228	0.8640591	0	0	0	0	0	0	0	
10.243	0.8782418	0	0	0	0	0	0	0	
10.257	0.8927796	0	0	0	0	0	0	0	
10.268	0.9043415	0	0	0	0	0	0	0	
10.282	0.917868	0	0	0	0	0	0	0	
10.296	0.931442	0	0	0	0	0	0	0	
10.310	0.9466246	0	0	0	0	0	0	0	
10.321	0.9579194	0	0	0	0	0	0	0	
10.350	0.9856258	0	0	0	0	0	0	0	
10.364	0.999468	0	0	0	0	0	0	0	
10.376	1.012573	0	0	0	0	0	0	0	
10.388	1.024243	0	0	0	0	0	0	0	
10.402	1.037905	0	0	0	0	0	0	0	
10.416	1.052218	0	0	0	0	0	0	0	
10.428	1.064557	0	0	0	0	0	0	0	
10.441	1.07735	0	0	0	0	0	0	0	
10.455	1.091513	0	0	0	0	0	0	0	
10.467	1.102963	0	0	0	0	0	0	0	
10.481	1.117566	0	0	0	0	0	0	0	
10.493	1.129712	0	0	0	0	0	0	0	
10.507	1.143472	0	0	0	0	0	0	0	
10.524	1.159592	0	0	0	0	0	0	0	
10.536	1.171994	0	0	0	0	0	0	0	
10.547	1.183579	0	0	0	0	0	0	0	
10.561	1.196726	0	0	0	0	0	0	0	
10.574	1.209996	0	0	0	0	0	0	0	
10.589	1.22468	0	0	0	0	0	0	0	
10.601	1.236971	0	0	0	0	0	0	0	
10.614	1.250651	0	0	0	0	0	0	0	
10.628	1.264191	0	0	0	0	0	0	0	
10.642	1.278572	0	0	0	0	0	0	0	
10.654	1.289839	0	0	0	0	0	0	0	
10.667	1.303605	0	0	0	0	0	0	0	
10.681	1.317466	0	0	0	0	0	0	0	
10.696	1.331716	0	0	0	0	0	0	0	
10.708	1.343812	0	0	0	0	0	0	0	
10.721	1.357402	0	0	0	0	0	0	0	
10.736	1.371866	0	0	0	0	0	0	0	
10.751	1.386578	0	0	0	0	0	0	0	
10.761	1.39759	0	0	0	0	0	0	0	
10.775	1.410817	0	0	0	0	0	0	0	
10.788	1.424681	0	0	0	0	0	0	0	
10.802	1.437918	0	0	0	0	0	0	0	
10.816	1.452761	0	0	0	0	0	0	0	
10.828	1.463983	0	0	0	0	0	0	0	
10.842	1.478041	0	0	0	0	0	0	0	
10.855	1.491599	0	0	0	0	0	0	0	
10.868	1.504634	0	0	0	0	0	0	0	
10.882	1.518265	0	0	0	0	0	0	0	
10.894	1.530568	0	0	0	0	0	0	0	
10.908	1.544578	0	0	0	0	0	0	0	
10.922	1.55799	0	0	0	0	0	0	0	
10.937	1.572674	0	0	0	0	0	0	0	
10.948	1.584376	0	0	0	0	0	0	0	
