Time	keytime	target	cameray	heady	camerax	headx	cameraz	headz	
284.757	0.02799842	-3	0	0	0	0	0	0	
284.767	0.03990123	-3	0	0	0	0	0	0	
284.799	0.07143229	-3	0	0	0	0	0	0	
284.809	0.08196543	-3	0	0	0	0	0	0	
284.831	0.1034789	-3	0	0	0	0	0	0	
284.867	0.1393849	-3	0	0	0	0	0	0	
284.894	0.166528	-3	0	0	0	0	0	0	
284.905	0.1774684	-3	0	0	0	0	0	0	
284.928	0.2012195	-3	0	0	0	0	0	0	
284.942	0.214771	-3	0	0	0	0	0	0	
284.994	0.2671743	-3	0	0	0	0	0	0	
285.009	0.2816008	-3	0	0	0	0	0	0	
285.034	0.3066904	-3	0	0	0	0	0	0	
285.064	0.3362943	-3	0	0	0	0	0	0	
285.075	0.3480221	-3	0	0	0	0	0	0	
285.098	0.3711036	-3	0	0	0	0	0	0	
285.129	0.4015763	-3	0	0	0	0	0	0	
285.142	0.414692	-3	0	0	0	0	0	0	
285.165	0.4379789	-3	0	0	0	0	0	0	
285.194	0.4674722	-3	0	0	0	0	0	0	
285.223	0.4959016	-3	0	0	0	0	0	0	
285.234	0.5064759	-3	0	0	0	0	0	0	
285.256	0.5289458	-3	0	0	0	0	0	0	
285.279	0.5515141	-3	0	0	0	0	0	0	
285.301	0.574018	-3	0	0	0	0	0	0	
285.326	0.598671	-3	0	0	0	0	0	0	
285.353	0.6264549	-3	0	0	0	0	0	0	
285.364	0.6373057	-3	0	0	0	0	0	0	
285.390	0.6621342	-3	0	0	0	0	0	0	
285.415	0.6878602	-3	0	0	0	0	0	0	
285.444	0.7170928	-3	0	0	0	0	0	0	
285.454	0.7269346	-3	0	0	0	0	0	0	
285.483	0.7560033	-3	0	0	0	0	0	0	
285.519	0.791773	-3	0	0	0	0	0	0	
285.544	0.8165979	-3	0	0	0	0	0	0	
285.553	0.8252849	-3	0	0	0	0	0	0	
285.582	0.85524	-3	0	0	0	0	0	0	
285.592	0.8653402	-3	0	0	0	0	0	0	
285.610	0.882732	-3	0	0	0	0	0	0	
285.641	0.9140841	-3	0	0	0	0	0	0	
285.653	0.9258925	-3	0	0	0	0	0	0	
285.675	0.9481965	-3	0	0	0	0	0	0	
285.706	0.9790338	-3	0	0	0	0	0	0	
285.731	0.9920009	-3	0	0	0	0	0	0	
