Time	keytime	target	cy	hy	
10.848	4.595129	0	-0.08215332	23.36188	
10.873	4.619629	0	-0.08816528	23.35618	
10.894	4.641031	0	-0.1460571	23.37121	
10.915	4.662302	0	-0.1536865	23.35586	
10.935	4.6816	0	-0.08584595	23.3653	
10.964	4.711425	0	-0.05072021	23.36051	
10.987	4.734784	0	-0.06326294	23.35675	
11.005	4.752348	0	-0.05932617	23.3746	
11.025	4.77252	0	-0.05578613	23.35805	
11.044	4.791436	0	-0.06356812	23.36115	
11.062	4.808861	0	-0.06002808	23.35653	
11.083	4.830192	0	-0.05215454	23.3602	
11.102	4.84903	0	-0.06350708	23.35513	
11.128	4.874633	0	-0.0508728	23.36573	
11.148	4.895637	0	-0.04586792	23.35552	
11.168	4.915625	0	-0.02972412	23.36171	
11.188	4.935172	0	-0.02151489	23.36004	
11.210	4.95738	0	-0.009124756	23.36664	
11.229	4.976732	0	-0.003635127	23.36949	
11.249	4.996484	0	0.004230833	23.37148	
11.270	5.016233	0	0.01889278	23.36033	
11.296	5.04283	0	0.02959332	23.36852	
11.318	5.064856	0	0.04941746	23.36365	
11.339	5.086508	0	0.05036444	23.35612	
11.357	5.104877	0	0.05530449	23.36503	
11.375	5.122725	0	0.05594939	23.36217	
11.396	5.143824	0	0.06650691	23.35783	
11.415	5.162402	0	0.05384568	23.357	
11.434	5.181692	0	0.05237713	23.36071	
11.476	5.22335	0	0.03689799	23.35723	
11.496	5.243661	0	0.009202636	23.35857	
11.520	5.267297	0	-0.007324219	23.36451	
11.542	5.289973	0	-0.02151489	23.35693	
11.562	5.30883	0	-0.07675171	23.35789	
11.582	5.329167	0	-0.1411438	23.36619	
11.604	5.350782	0	-0.2721252	23.36983	
11.628	5.375611	0	-0.3117676	23.35459	
11.649	5.396004	0	-0.3499451	23.36461	
11.669	5.415717	0	-0.4689636	23.36547	
11.687	5.434641	0	-0.5965271	23.36984	
11.706	5.453369	0	-0.8240967	23.36269	
11.729	5.475838	0	-1.118042	23.35889	
11.750	5.496745	0	-1.457245	23.36411	
11.771	5.5184	0	-1.950256	23.35872	
11.797	5.544954	0	-2.289734	23.35783	
11.820	5.566806	0	-3.032257	23.36997	
11.839	5.58704	0	-3.23764	23.36102	
11.859	5.606779	0	-3.368286	23.36747	
11.879	5.626328	0	-3.437073	23.36228	
11.898	5.645401	0	-3.42038	23.35339	
11.917	5.664037	0	-3.287567	23.35002	
11.935	5.682642	0	-3.274628	23.34627	
11.964	5.711788	0	-3.203003	23.34785	
11.988	5.734523	0	-3.239777	23.34307	
12.008	5.755213	0	-3.367004	23.33963	
12.026	5.773375	0	-3.506958	23.34024	
12.048	5.794683	0	-3.661682	23.33838	
12.067	5.813881	0	-3.931519	23.3352	
12.088	5.835528	0	-3.986786	23.3119	
12.117	5.863468	0	-4.114777	23.29466	
12.138	5.885068	0	-4.087006	23.28893	
12.157	5.904487	0	-4.039612	23.2997	
12.178	5.92524	0	-3.817444	23.30196	
12.199	5.946085	0	-3.532349	23.30677	
12.234	5.980716	0	-3.040558	23.30251	
12.256	6.003507	0	-2.22287	23.30215	
12.286	6.032162	0	-1.505127	23.3092	
12.305	6.05284	0	-0.6143799	23.29382	
12.324	6.072141	0	0.3328598	23.30666	
12.344	6.091038	0	0.9912021	23.29486	
12.362	6.109152	0	1.649762	23.31183	
12.383	6.130109	0	2.278817	23.29909	
12.403	6.149956	0	3.250252	23.29571	
12.425	6.172255	0	3.7864	23.29548	
12.451	6.198407	0	4.504393	23.29877	
