Time	keytime	time-time	keypress	target id	target_lon	target_lat	target_x	target_y	target_z	hmd_rx	hmd_ry	hmd_rz	
273.252	0.01188384	269.4254	0	8						0.00602144	-0.002495002	-0.001438231	
273.260	0.02102043	269.4345	0	8						0.006041314	-0.002473927	-0.001445052	
273.271	0.03224965	269.4458	0	8						0.006027341	-0.002456097	-0.001448747	
273.282	0.04292618	269.4564	0	8						0.006030463	-0.002433148	-0.001451569	
273.292	0.05342968	269.4669	0	8						0.006031615	-0.002411618	-0.00144587	
273.304	0.06506306	269.4786	0	8						0.00603928	-0.002398068	-0.001441009	
273.317	0.07810166	269.4916	0	8						0.006033495	-0.002389936	-0.001434378	
273.327	0.08773484	269.5013	0	8						0.006045491	-0.002377014	-0.001424118	
273.339	0.1000019	269.5135	0	8						0.006042939	-0.00238905	-0.001410146	
273.350	0.1099021	269.5234	0	8						0.006043497	-0.002381702	-0.001396345	
273.360	0.1201753	269.5337	0	8						0.006063468	-0.002397289	-0.001370498	
273.371	0.1319308	269.5454	0	8						0.006054332	-0.002393267	-0.001364772	
273.383	0.1435302	269.557	0	8						0.006078386	-0.002401799	-0.001341357	
273.394	0.155256	269.5688	0	8						0.006042435	-0.002416979	-0.001324208	
273.407	0.1680492	269.5815	0	8						0.006044257	-0.002435131	-0.001295482	
273.418	0.1795001	269.593	0	8						0.006025095	-0.002454226	-0.001272878	
273.426	0.1868103	269.6003	0	8						0.006023956	-0.002466549	-0.001240797	
273.438	0.1985385	269.6121	0	8						0.006025452	-0.002477368	-0.001225775	
273.467	0.2285995	269.6421	0	8						0.006012734	-0.002496545	-0.001195447	
273.478	0.2391038	269.6526	0	8						0.005981583	-0.002540287	-0.001147924	
273.486	0.2468727	269.6604	0	8						0.005949184	-0.002561872	-0.001131629	
273.495	0.255374	269.6689	0	8						0.005924087	-0.002580683	-0.001118156	
273.505	0.2652833	269.6788	0	8						0.005941197	-0.002610201	-0.001107853	
273.516	0.2768022	269.6903	0	8						0.005892872	-0.002612236	-0.001108995	
273.527	0.288266	269.7018	0	8						0.005864703	-0.002622146	-0.001100549	
273.537	0.2986368	269.7122	0	8						0.005833277	-0.002627447	-0.001088886	
273.549	0.3099454	269.7234	0	8						0.005811732	-0.002629062	-0.00108556	
273.560	0.3210755	269.7346	0	8						0.005775329	-0.002642318	-0.001078572	
273.571	0.3318864	269.7454	0	8						0.005750947	-0.002661499	-0.001059506	
273.581	0.3423879	269.7559	0	8						0.005727264	-0.002660278	-0.001053514	
273.593	0.3539261	269.7674	0	8						0.005699632	-0.002664489	-0.001034758	
273.604	0.3654804	269.779	0	8						0.00566988	-0.002649492	-0.001012489	
273.615	0.376475	269.79	0	8						0.005643994	-0.002631217	-0.0009794309	
273.626	0.3871515	269.8007	0	8						0.005610891	-0.002613812	-0.0009465071	
273.639	0.3987999	269.8123	0	8						0.005580994	-0.002611	-0.0009283019	
273.648	0.4095744	269.8231	0	8						0.005547233	-0.002598586	-0.0009095654	
273.659	0.4202375	269.8337	0	8						0.005521554	-0.002599974	-0.0008967756	
273.673	0.4336392	269.8471	0	8						0.005504654	-0.002603232	-0.0008900626	
273.682	0.4425624	269.8561	0	8						0.005476583	-0.002612234	-0.0008786422	
273.692	0.4531173	269.8666	0	8						0.005451545	-0.00260593	-0.0008717579	
273.705	0.4660615	269.8796	0	8						0.005431324	-0.002607057	-0.0008822336	
273.716	0.4768794	269.8904	0	8						0.005411841	-0.002602556	-0.0008830987	
273.725	0.4862942	269.8998	0	8						0.005395975	-0.00260689	-0.0008872262	
273.737	0.4984075	269.9119	0	8						0.005378478	-0.002605959	-0.0008933856	
273.748	0.508698	269.9222	0	8						0.005370419	-0.00260359	-0.0008918132	
273.760	0.5204574	269.934	0	8						0.005366874	-0.002614212	-0.0008857989	
273.771	0.5318478	269.9453	0	8						0.005357437	-0.002601878	-0.0009001226	
273.783	0.5441046	269.9576	0	8						0.005334906	-0.002605175	-0.0009069153	
273.792	0.5532234	269.9667	0	8						0.005304802	-0.00260242	-0.0009154271	
273.804	0.5647256	269.9782	0	8						0.005294721	-0.002609651	-0.0009185347	
273.816	0.5766044	269.9901	0	8						0.005280156	-0.002619479	-0.0009232222	
273.827	0.5880552	270.0016	0	8						0.005271025	-0.002621629	-0.0009173008	
273.839	0.5998438	270.0134	0	8						0.005248327	-0.002626289	-0.0009112658	
273.849	0.6096737	270.0232	0	8						0.005235281	-0.002634931	-0.0008991622	
273.859	0.6200465	270.0336	0	8						0.005231634	-0.002633623	-0.0008903021	
273.871	0.6315768	270.0451	0	8						0.005231183	-0.002646483	-0.0008720151	
273.882	0.6432018	270.0567	0	8						0.005194701	-0.00264542	-0.0008718463	
273.892	0.6535086	270.067	0	8						0.005176348	-0.002648365	-0.000855993	
273.903	0.6647256	270.0782	0	8						0.005162935	-0.002650797	-0.0008513478	
273.915	0.6756044	270.0891	0	8						0.00517127	-0.002680339	-0.000819074	
273.928	0.6875131	270.101	0	8						0.005144995	-0.002666842	-0.0008255562	
273.938	0.6986981	270.1122	0	8						0.005129951	-0.002673323	-0.000818187	
273.949	0.7099475	270.1234	0	8						0.005123015	-0.002685134	-0.0008016238	
273.960	0.7212253	270.1347	0	8						0.005105025	-0.002692922	-0.0007955408	
273.972	0.7334991	270.147	0	8						0.00509166	-0.002689478	-0.0007908296	
273.982	0.7431157	270.1566	0	8						0.005065809	-0.002705424	-0.0007796925	
273.993	0.7539088	270.1674	0	8						0.005054891	-0.002698957	-0.0007830277	
274.003	0.7647287	270.1782	0	8						0.005041079	-0.002697791	-0.0007775584	
274.016	0.7766351	270.1902	0	8						0.005033821	-0.002693627	-0.0007730338	
274.027	0.7884375	270.2019	0	8						0.005010601	-0.002696054	-0.0007702893	
274.037	0.7982966	270.2118	0	8						0.00499799	-0.00269967	-0.0007599336	
274.048	0.8088855	270.2224	0	8						0.004986286	-0.002702968	-0.0007505462	
274.061	0.8221994	270.2357	0	8						0.004977435	-0.002707522	-0.0007280936	
274.071	0.8316746	270.2452	0	8						0.004965585	-0.002712667	-0.0007232425	
274.082	0.8424456	270.256	0	8						0.004952688	-0.002719972	-0.0007077947	
274.093	0.8537194	270.2672	0	8						0.004946758	-0.002734381	-0.0007024511	
274.105	0.8661003	270.2796	0	8						0.004941322	-0.002741109	-0.0006979202	
274.115	0.8762174	270.2897	0	8						0.004928045	-0.002768018	-0.0006805305	
274.126	0.8871918	270.3007	0	8						0.004924577	-0.00277472	-0.0006851067	
274.139	0.9004536	270.314	0	8						0.004920862	-0.002781683	-0.0006822242	
274.149	0.9099449	270.3235	0	8						0.004928284	-0.002786421	-0.0006895635	
274.174	0.9351087	270.3486	0	8						0.004922416	-0.002793807	-0.0006845845	
274.183	0.9435543	270.3571	0	8						0.004924562	-0.002809966	-0.0006793989	
274.192	0.9532539	270.3668	0	8						0.004924615	-0.002810679	-0.0006784506	
274.205	0.9657825	270.3793	0	8						0.004929193	-0.002821477	-0.0006709167	
274.217	0.9771172	270.3906	0	8						0.004925627	-0.002807293	-0.0006734238	
274.226	0.9869854	270.4005	0	8						0.004925457	-0.002808497	-0.0006585735	
274.238	0.9986488	270.4122	0	8						0.004923251	-0.002811983	-0.0006567718	
274.250	1.011165	270.4247	0	8						0.004921827	-0.002812941	-0.0006580903	
274.259	1.020211	270.4337	0	8						0.004916244	-0.002829128	-0.0006560648	
274.270	1.031697	270.4452	0	8						0.004914145	-0.002823964	-0.0006565911	
274.282	1.043619	270.4571	0	8						0.004906119	-0.002807674	-0.0006504697	
274.293	1.054048	270.4676	0	8						0.004902322	-0.002789909	-0.0006427714	
274.304	1.065344	270.4789	0	8						0.004895419	-0.002773304	-0.0006350462	
274.316	1.077196	270.4907	0	8						0.004893657	-0.002752342	-0.0006332748	
274.326	1.086802	270.5003	0	8						0.004878465	-0.002735149	-0.0006308887	
274.342	1.086802	270.5144	1	8	30	0	0.25	0	0.4330127	0.004880387	-0.002714818	-0.0006375274	
274.342	1.100913	270.5144	0	8						0.004880387	-0.002714818	-0.0006375274	
274.353	1.114264	270.5278	0	8						0.004866368	-0.002708705	-0.0006495475	
274.360	1.120913	270.5344	0	8						0.004848008	-0.002705147	-0.0006633326	
274.370	1.131087	270.5446	0	8						0.004848178	-0.002707155	-0.000673585	
274.382	1.14239	270.5559	0	8						0.004846416	-0.002705903	-0.0006914079	
274.392	1.153305	270.5668	0	8						0.004843566	-0.002705698	-0.0007083855	
274.405	1.165335	270.5789	0	8						0.004848383	-0.002712772	-0.0007243375	
274.416	1.17686	270.5904	0	8						0.005088523	-0.002778002	-0.000389596	
274.428	1.189143	270.6027	0	8						0.005366993	-0.002849326	-1.202721E-05	
274.444	1.204599	270.6181	0	8						0.005519581	-0.002879605	0.0001615278	
274.459	1.22007	270.6336	0	8						0.005507135	-0.002864112	8.702425E-05	
274.470	1.230752	270.6443	0	8						0.005461934	-0.002838789	-4.536704E-05	
274.482	1.242818	270.6563	0	8						0.005463791	-0.002826449	-0.000105186	
274.494	1.255635	270.6692	0	8						0.005447629	-0.002811356	-0.0001848592	
274.504	1.264737	270.6783	0	8						0.005434663	-0.002789556	-0.0002733741	
274.514	1.27537	270.6889	0	8						0.005459189	-0.002787834	-0.0003173178	
274.528	1.288502	270.702	0	8						0.005437911	-0.002760703	-0.0003862229	
274.539	1.298949	270.7125	0	8						0.005450753	-0.002742167	-0.0004652861	
274.549	1.31023	270.7237	0	8						0.005419255	-0.002717733	-0.0005405527	
274.559	1.319613	270.7331	0	8						0.005426224	-0.002694403	-0.000589829	
274.572	1.332916	270.7464	0	8						0.005424297	-0.002675003	-0.0006376336	
274.582	1.342638	270.7561	0	8						0.005424677	-0.002656454	-0.0006831842	
274.592	1.353529	270.767	0	8						0.005424421	-0.002643489	-0.0007191923	
274.605	1.365729	270.7792	0	8						0.005431823	-0.002624285	-0.0007609909	
274.615	1.375813	270.7893	0	8						0.005429992	-0.00260217	-0.0008006893	
274.626	1.387013	270.8005	0	8						0.005431014	-0.002592817	-0.0008330637	
274.638	1.398933	270.8124	0	8						0.005435436	-0.002587463	-0.000870704	
274.648	1.409455	270.823	0	8						0.005447824	-0.002579739	-0.0009114236	
274.659	1.420159	270.8337	0	8						0.005470321	-0.002577177	-0.0009437004	
274.670	1.43124	270.8448	0	8						0.005469743	-0.002576613	-0.0009687893	
274.682	1.44266	270.8562	0	8						0.005462703	-0.002563278	-0.001007123	
