Time	keytime	time-time	keypress	target id	target_lon	target_lat	target_y	target_z	target_x	hmd_rx	hmd_ry	hmd_rz	
20.621	0.01488157	16.69906		1	120	0	0	-0.5000001	0.8660254	0	0	0	
20.634	0.02985993	16.71404		1	120	0	0	-0.5000001	0.8660254	0	0	0	
20.650	0.046285	16.73047		1	120	0	0	-0.5000001	0.8660254	0	0	0	
20.664	0.05969101	16.74387		1	120	0	0	-0.5000001	0.8660254	0	0	0	
20.676	0.07244597	16.75663		1	120	0	0	-0.5000001	0.8660254	0	0	0	
20.688	0.0844902	16.76867		1	120	0	0	-0.5000001	0.8660254	0	0	0	
20.698	0.09479736	16.77898		1	120	0	0	-0.5000001	0.8660254	0	0	0	
20.710	0.1063806	16.79056		1	120	0	0	-0.5000001	0.8660254	0	0	0	
20.725	0.1207817	16.80497		1	120	0	0	-0.5000001	0.8660254	0	0	0	
20.738	0.1347713	16.81895		1	120	0	0	-0.5000001	0.8660254	0	0	0	
20.752	0.1477715	16.83195		1	120	0	0	-0.5000001	0.8660254	0	0	0	
20.764	0.1599351	16.84412		1	120	0	0	-0.5000001	0.8660254	0	0	0	
20.775	0.1710873	16.85527		1	120	0	0	-0.5000001	0.8660254	0	0	0	
20.787	0.1828874	16.86707		1	120	0	0	-0.5000001	0.8660254	0	0	0	
20.801	0.1968907	16.88107		1	120	0	0	-0.5000001	0.8660254	0	0	0	
20.812	0.2085036	16.89269		1	120	0	0	-0.5000001	0.8660254	0	0	0	
20.823	0.2196289	16.90381		1	120	0	0	-0.5000001	0.8660254	0	0	0	
20.838	0.2346167	16.9188		1	120	0	0	-0.5000001	0.8660254	0	0	0	
20.851	0.2470217	16.93121		1	120	0	0	-0.5000001	0.8660254	0	0	0	
20.865	0.2617626	16.94595		1	120	0	0	-0.5000001	0.8660254	0	0	0	
20.879	0.2750615	16.95925		1	120	0	0	-0.5000001	0.8660254	0	0	0	
