Time	keytime	time-time	keypress	target id	target_lon	target_lat	target_x	target_y	target_z	hmd_rx	hmd_ry	hmd_rz	
107.721	0.01338666	103.7198	0	6						-0.002724671	-0.03331943	0.02129242	
107.734	0.02696847	103.7334	0	6						-0.002740372	-0.03339172	0.02131321	
107.746	0.03976846	103.7462	0	6						-0.00277688	-0.0334081	0.02132433	
107.760	0.05350554	103.7599	0	6						-0.002820928	-0.03345217	0.02133791	
107.771	0.06539096	103.7718	0	6						-0.0028311	-0.03348075	0.02134192	
107.784	0.0783146	103.7848	0	6						-0.002900884	-0.03350151	0.0213566	
107.797	0.09075311	103.7972	0	6						-0.002951268	-0.03353864	0.02137097	
107.808	0.1020696	103.8085	0	6						-0.002979863	-0.03356107	0.02137635	
107.819	0.1128003	103.8192	0	6						-0.003015179	-0.03357688	0.02138624	
107.829	0.1230782	103.8295	0	6						-0.003033534	-0.03360244	0.02139425	
107.842	0.1357269	103.8422	0	6						-0.003059644	-0.03360476	0.02140258	
107.853	0.1474867	103.8539	0	6						-0.003058005	-0.03364913	0.0214146	
107.865	0.1596573	103.8661	0	6						-0.003025014	-0.03364727	0.02141319	
107.877	0.1716439	103.8781	0	6						-0.002999544	-0.03364929	0.0214177	
107.890	0.183431	103.8899	0	6						-0.002980883	-0.03366566	0.02142812	
107.903	0.1970807	103.9035	0	6						-0.002923566	-0.03366512	0.02142699	
107.917	0.2105353	103.917	0	6						-0.002905109	-0.03365854	0.02143128	
107.930	0.2236628	103.9301	0	6						-0.002847631	-0.0336675	0.02142956	
107.944	0.2383223	103.9448	0	6						-0.002777994	-0.03365521	0.02142319	
107.972	0.2656401	103.9721	0	6						-0.002728939	-0.03364551	0.02142079	
107.985	0.2786996	103.9851	0	6						-0.002671983	-0.03364427	0.02142529	
107.995	0.2895745	103.996	0	6						-0.002640347	-0.03365006	0.02142474	
108.007	0.301614	104.0081	0	6						-0.002633464	-0.03365343	0.02142693	
108.017	0.3116908	104.0181	0	6						-0.002633267	-0.033663	0.02142892	
108.028	0.322391	104.0288	0	6						-0.002643768	-0.03367453	0.02143245	
108.040	0.3342654	104.0407	0	6						-0.002661432	-0.03368895	0.02143925	
108.051	0.3458031	104.0522	0	6						-0.002671345	-0.03369715	0.02144151	
108.063	0.3571868	104.0636	0	6						-0.002696589	-0.03372041	0.02145181	
108.076	0.3695143	104.076	0	6						-0.002702728	-0.03373463	0.02145668	
108.086	0.3796057	104.086	0	6						-0.002703603	-0.03375358	0.02146485	
108.096	0.3894913	104.0959	0	6						-0.002709334	-0.03374847	0.02146862	
108.109	0.4024877	104.1089	0	6						-0.002710484	-0.03377812	0.0214729	
108.121	0.4148026	104.1212	0	6						-0.002711832	-0.0337771	0.02147328	
108.131	0.4249193	104.1314	0	6						-0.002710253	-0.03377562	0.02147305	
108.143	0.4371464	104.1436	0	6						-0.002698004	-0.03376939	0.02147044	
108.154	0.4482401	104.1547	0	6						-0.002691439	-0.03375448	0.0214688	
108.165	0.4595492	104.166	0	6						-0.002654529	-0.03373659	0.02146066	
108.177	0.4705927	104.177	0	6						-0.002606603	-0.03369742	0.02144809	
108.189	0.4827448	104.1892	0	6						-0.002580609	-0.03369305	0.02144586	
108.200	0.493242	104.1997	0	6						-0.002537154	-0.03366233	0.02143808	
108.211	0.5047379	104.2112	0	6						-0.002514474	-0.03362938	0.02143687	
108.221	0.5156882	104.2221	0	6						-0.002401754	-0.03359779	0.02141592	
108.233	0.527606	104.234	0	6						-0.002283235	-0.03352099	0.02138809	
108.245	0.5390565	104.2455	0	6						-0.00213265	-0.03343104	0.02135067	
108.271	0.5650812	104.2715	0	6						-0.001948018	-0.03329973	0.02129816	
108.284	0.5775912	104.284	0	6						-0.001388889	-0.03283143	0.02110789	
108.295	0.5889879	104.2954	0	6						-0.00119267	-0.03265391	0.02103465	
108.307	0.6008402	104.3073	0	6						-0.001121074	-0.03260007	0.0210073	
108.318	0.6118979	104.3183	0	6						-0.001042947	-0.03250647	0.02096762	
108.330	0.6237139	104.3302	0	6						-0.0008940818	-0.03232368	0.0208969	
108.341	0.6347562	104.3412	0	6						-0.0006926591	-0.03214546	0.02081042	
108.351	0.6455683	104.352	0	6						-0.0004836842	-0.03188711	0.02070796	
108.364	0.6580546	104.3645	0	6						-0.0003223121	-0.03172828	0.02063844	
108.377	0.670377	104.3768	0	6						0.0001375228	-0.03125707	0.02044553	
108.389	0.6831497	104.3896	0	6						0.0004026592	-0.03100063	0.02033157	
108.400	0.6939349	104.4004	0	6						0.0006527742	-0.0307402	0.0202137	
108.412	0.7058969	104.4123	0	6						0.0007247515	-0.03061455	0.02015625	
108.425	0.7188597	104.4253	0	6						0.0009680158	-0.03042676	0.02005006	
108.435	0.7297404	104.4362	0	6						0.001233875	-0.03007472	0.0198961	
108.447	0.7411032	104.4475	0	6						0.001454249	-0.02982672	0.01976643	
108.458	0.7515849	104.458	0	6						0.001689806	-0.02949407	0.01959947	
108.469	0.7629457	104.4694	0	6						0.00189092	-0.02916666	0.01944523	
108.479	0.7726646	104.4791	0	6						0.002096433	-0.02884411	0.01927506	
108.490	0.7836722	104.4901	0	6						0.002222221	-0.02853664	0.01912767	
108.501	0.7955063	104.5019	0	6						0.00238644	-0.0283204	0.01897789	
108.513	0.8068821	104.5133	0	6						0.002597392	-0.02778488	0.01872164	
108.523	0.8174168	104.5239	0	6						0.002785622	-0.02728872	0.01847282	
108.533	0.8275813	104.534	0	6						0.002883684	-0.02689129	0.01827428	
108.557	0.8512309	104.5577	0	6						0.003065876	-0.02646848	0.01804164	
108.569	0.8629749	104.5694	0	6						0.003639291	-0.02480836	0.01725586	
108.580	0.8740299	104.5805	0	6						0.003724821	-0.02459823	0.01705956	
108.592	0.8858292	104.5923	0	6						0.003918218	-0.02391332	0.01669038	
108.604	0.8982345	104.6047	0	6						0.004079279	-0.02332673	0.0163745	
108.615	0.9089723	104.6154	0	6						0.004459043	-0.02223343	0.01580747	
108.628	0.9212812	104.6277	0	6						0.004751444	-0.02161514	0.01544526	
108.639	0.9331777	104.6396	0	6						0.005129106	-0.0208119	0.01497769	
108.650	0.9433162	104.6498	0	6						0.005456913	-0.02003853	0.01451425	
108.661	0.954814	104.6613	0	6						0.005670492	-0.01945306	0.01415929	
108.672	0.9662234	104.6727	0	6						0.005925685	-0.01870158	0.01371494	
108.686	0.9799277	104.6864	0	6						0.006255981	-0.01793998	0.01324319	
108.698	0.9912008	104.6976	0	6						0.006412677	-0.01768137	0.01300924	
108.708	1.002559	104.709	0	6						0.006764084	-0.01687078	0.01251126	
108.720	1.013657	104.7201	0	6						0.007151991	-0.0161689	0.0120332	
108.729	1.023315	104.7298	0	6						0.007568743	-0.01522618	0.01145574	
108.741	1.03455	104.741	0	6						0.007757377	-0.01477961	0.01113579	
108.752	1.046215	104.7527	0	6						0.008031398	-0.01413727	0.01068949	
108.764	1.057872	104.7643	0	6						0.008240841	-0.01350134	0.01027039	
108.773	1.067661	104.7741	0	6						0.008429512	-0.01297823	0.009908098	
108.785	1.079134	104.7856	0	6						0.008496682	-0.01276003	0.00974175	
108.795	1.08974	104.7962	0	6						0.008655027	-0.01230912	0.009428116	
108.806	1.100176	104.8066	0	6						0.008705684	-0.01203107	0.009245547	
108.817	1.110705	104.8171	0	6						0.008755438	-0.01178955	0.009074624	
108.839	1.121577	104.828	0	6						0.008786608	-0.01164507	0.008967389	
108.852	1.145993	104.8524	0	6						0.00879716	-0.0115256	0.008883755	
108.864	1.157461	104.8639	0	6						0.008756347	-0.01110857	0.008630869	
108.876	1.169485	104.8759	0	6						0.008758832	-0.011073	0.008586679	
108.888	1.181626	104.8881	0	6						0.008733079	-0.01094357	0.008516612	
108.900	1.193782	104.9002	0	6						0.008727271	-0.01090194	0.008485844	
108.911	1.20518	104.9116	0	6						0.008682244	-0.01086747	0.008477967	
108.921	1.21526	104.9217	0	6						0.008626424	-0.01094747	0.00852482	
108.934	1.227955	104.9344	0	6						0.008504052	-0.01103205	0.008592392	
108.946	1.240601	104.947	0	6						0.00824336	-0.01117564	0.008727577	
108.957	1.251525	104.958	0	6						0.008043878	-0.01130197	0.008834455	
108.968	1.262481	104.9689	0	6						0.007933998	-0.0113681	0.008887834	
108.978	1.27278	104.9792	0	6						0.007760223	-0.01147552	0.008972091	
108.991	1.28472	104.9912	0	6						0.007675868	-0.01154957	0.009011346	
109.003	1.296807	105.0033	0	6						0.00753492	-0.01159537	0.009041958	
109.014	1.307871	105.0143	0	6						0.007343979	-0.01161348	0.009069312	
109.026	1.320368	105.0268	0	6						0.007215861	-0.01163442	0.009078157	
109.038	1.332345	105.0388	0	6						0.007009768	-0.01164619	0.009086596	
109.049	1.34298	105.0494	0	6						0.006852577	-0.01165178	0.009075613	
109.061	1.354539	105.061	0	6						0.006759409	-0.01159808	0.009023825	
109.073	1.367304	105.0737	0	6						0.00651921	-0.01135717	0.008923316	
109.083	1.377329	105.0838	0	6						0.006403256	-0.01118394	0.008803303	
109.097	1.391129	105.0976	0	6						0.00630435	-0.01106619	0.008710229	
109.109	1.403278	105.1097	0	6						0.00613264	-0.01083404	0.008556919	
109.120	1.414309	105.1208	0	6						0.006017052	-0.01057048	0.008382478	
109.148	1.441637	105.1481	0	6						0.005914952	-0.0103142	0.008203558	
