Time	keytime	time-time	keypress	target id	target_lon	target_lat	target_x	target_y	target_z	hmd_rx	hmd_ry	hmd_rz	
52.638	1.197363	48.80455	0	0						-0.1834393	0.05673308	-0.1943055	
52.649	1.208536	48.81573	0	0						-0.1834394	0.05674045	-0.1943097	
52.661	1.220679	48.82787	0	0						-0.1834432	0.05673253	-0.1942973	
52.668	1.228068	48.83526	0	0						-0.1834494	0.05673244	-0.1942938	
52.680	1.239197	48.84639	0	0						-0.1834548	0.05673449	-0.1942874	
52.692	1.250409	48.8576	0	0						-0.1834556	0.05674248	-0.1942862	
52.701	1.260861	48.86805	0	0						-0.1834683	0.05674316	-0.1942867	
52.713	1.272252	48.87944	0	0						-0.1834946	0.05675745	-0.1942974	
52.725	1.285258	48.89245	0	0						-0.1835034	0.0567542	-0.194297	
52.737	1.296724	48.90392	0	0						-0.1835078	0.05675638	-0.1943002	
52.747	1.306472	48.91367	0	0						-0.1834999	0.05675436	-0.1943061	
52.759	1.318325	48.92552	0	0						-0.1835025	0.05675308	-0.1942964	
52.769	1.328188	48.93538	0	0						-0.1835052	0.05674461	-0.1942836	
52.782	1.341817	48.94901	0	0						-0.1835162	0.0567477	-0.1942783	
52.793	1.352904	48.96009	0	0						-0.1835238	0.05674173	-0.1942722	
52.818	1.377975	48.98517	0	0						-0.1835127	0.05674445	-0.1942703	
52.828	1.387884	48.99508	0	0						-0.1835112	0.05673733	-0.1942483	
52.838	1.396246	49.00344	0	0						-0.1835018	0.05673959	-0.1942535	
52.848	1.407646	49.01484	0	0						-0.1834882	0.05674431	-0.1942612	
52.859	1.418855	49.02605	0	0						-0.1834967	0.05674437	-0.194244	
52.869	1.428694	49.03588	0	0						-0.183492	0.05673173	-0.1942386	
52.881	1.440524	49.04771	0	0						-0.1834905	0.05674358	-0.1942395	
52.891	1.451184	49.05838	0	0						-0.1834842	0.05673376	-0.1942388	
52.902	1.461992	49.06918	0	0						-0.1834926	0.0567355	-0.1942345	
52.914	1.473643	49.08083	0	0						-0.1834918	0.05673295	-0.1942317	
52.924	1.484027	49.09122	0	0						-0.1834883	0.05672969	-0.1942252	
52.936	1.496063	49.10326	0	0						-0.1835072	0.05672916	-0.1942255	
52.947	1.50676	49.11395	0	0						-0.1835223	0.05672492	-0.194228	
52.958	1.51744	49.12463	0	0						-0.1835321	0.05672713	-0.1942355	
52.969	1.52883	49.13602	0	0						-0.1835282	0.05672201	-0.1942367	
52.980	1.539793	49.14698	0	0						-0.1835169	0.05672279	-0.1942323	
52.991	1.550537	49.15773	0	0						-0.1835118	0.05671664	-0.1942252	
53.002	1.561605	49.1688	0	0						-0.183494	0.05671721	-0.1942292	
53.014	1.573097	49.18029	0	0						-0.1834962	0.05670924	-0.1942214	
