Time	keytime	time-time	keypress	target id	target_lon	target_lat	target_x	target_y	target_z	hmd_rx	hmd_ry	hmd_rz	
613.046	412.7618	607.8175	0	19						0.5307494	-0.3798668	0.3225791	
613.069	412.7855	607.8412	0	19						0.5307631	-0.3798517	0.3225884	
613.089	412.8066	607.8623	0	19						0.5307833	-0.3798431	0.3225924	
613.113	412.8299	607.8856	0	19						0.5307983	-0.3798412	0.3225922	
613.134	412.8509	607.9066	0	19						0.5308076	-0.3798378	0.3225984	
613.154	412.8705	607.9261	0	19						0.530809	-0.37984	0.3226069	
613.179	412.8955	607.9512	0	19						0.5308128	-0.3798329	0.3226024	
613.201	412.9176	607.9733	0	19						0.5308002	-0.3798472	0.3225925	
613.224	412.9397	607.9954	0	19						0.5308061	-0.3798598	0.3225747	
613.246	412.9632	608.0189	0	19						0.5308213	-0.3798811	0.3225622	
613.269	412.9859	608.0416	0	19						0.5308232	-0.3798971	0.3225682	
613.289	413.0049	608.0606	0	19						0.5308257	-0.3798939	0.3225739	
613.310	413.0276	608.0833	0	19						0.5308388	-0.3798874	0.3225617	
613.335	413.0522	608.1079	0	19						0.5308259	-0.3798901	0.322559	
613.357	413.0737	608.1294	0	19						0.5308317	-0.3798712	0.3225573	
613.376	413.0936	608.1493	0	19						0.5308284	-0.3798656	0.3225573	
613.401	413.1173	608.173	0	19						0.5308199	-0.3798647	0.322569	
613.424	413.1416	608.1973	0	19						0.5308265	-0.379862	0.322575	
613.446	413.1625	608.2182	0	19						0.5308245	-0.3798495	0.3225842	
613.468	413.1845	608.2402	0	19						0.5308236	-0.3798529	0.3226013	
613.490	413.2068	608.2625	0	19						0.5308303	-0.3798534	0.322615	
613.510	413.2268	608.2825	0	19						0.5308394	-0.3798599	0.3226232	
613.535	413.2517	608.3074	0	19						0.5308502	-0.3798531	0.3226326	
613.558	413.2746	608.3303	0	19						0.5308619	-0.3798533	0.3226453	
613.582	413.2995	608.3552	0	19						0.5308741	-0.3798549	0.3226569	
613.601	413.3188	608.3745	0	19						0.5308868	-0.379847	0.3226606	
613.623	413.3396	608.3953	0	19						0.5309073	-0.3798423	0.3226618	
613.648	413.3644	608.4201	0	19						0.5309057	-0.3798486	0.3226642	
613.668	413.3848	608.4405	0	19						0.5309114	-0.379855	0.3226592	
613.690	413.4069	608.4626	0	19						0.5309077	-0.3798636	0.3226557	
613.713	413.4301	608.4858	0	19						0.5309192	-0.3798644	0.3226489	
613.735	413.4522	608.5079	0	19						0.5309068	-0.3798735	0.322644	
613.757	413.4738	608.5295	0	19						0.530911	-0.3798617	0.3226405	
