Time	keytime	time-time	keypress	target id	target_lon	target_lat	target_x	target_y	target_z	hmd_rx	hmd_ry	hmd_rz	
581.360	411.9228	576.4628	0	19						0.5308653	-0.3799745	0.3226358	
581.381	411.945	576.4851	0	19						0.5308798	-0.3799728	0.3226348	
581.401	411.9644	576.5045	0	19						0.530874	-0.3799886	0.3226277	
581.425	411.9887	576.5288	0	19						0.5308734	-0.3800035	0.3226367	
581.448	412.011	576.5511	0	19						0.530871	-0.3799994	0.32266	
581.469	412.0333	576.5734	0	19						0.530872	-0.3799886	0.322668	
581.493	412.0566	576.5967	0	19						0.5308585	-0.3799762	0.3226506	
581.512	412.0754	576.6155	0	19						0.5308454	-0.3799439	0.3226291	
581.533	412.0974	576.6375	0	19						0.5308337	-0.3799388	0.3226148	
581.554	412.1181	576.6582	0	19						0.5308201	-0.3799251	0.3225982	
581.578	412.1404	576.6805	0	19						0.5308197	-0.3799002	0.3225863	
581.601	412.1652	576.7053	0	19						0.5308221	-0.3798892	0.3225704	
581.622	412.1861	576.7262	0	19						0.5308279	-0.3798725	0.3225626	
581.649	412.2129	576.753	0	19						0.5308372	-0.3798618	0.3225588	
581.669	412.2328	576.7728	0	19						0.530836	-0.3798573	0.3225482	
581.687	412.2505	576.7906	0	19						0.5308291	-0.379864	0.3225343	
581.706	412.27	576.8101	0	19						0.530825	-0.3798781	0.3225144	
581.725	412.2895	576.8296	0	19						0.5308082	-0.3799058	0.3224967	
581.744	412.3081	576.8482	0	19						0.5307828	-0.3799203	0.3225017	
581.763	412.3272	576.8672	0	19						0.5307878	-0.3799283	0.3224933	
581.783	412.3466	576.8867	0	19						0.5307739	-0.3799406	0.3224891	
581.809	412.3723	576.9124	0	19						0.5307653	-0.379954	0.3224808	
581.828	412.3918	576.9319	0	19						0.5307555	-0.3799678	0.3224787	
581.846	412.4102	576.9503	0	19						0.5307567	-0.3799799	0.3224765	
581.868	412.4307	576.9708	0	19						0.5307426	-0.3799832	0.3224926	
581.890	412.4539	576.994	0	19						0.5307334	-0.3799942	0.322504	
581.911	412.4753	577.0154	0	19						0.5307332	-0.3800081	0.3225079	
581.936	412.4998	577.0399	0	19						0.5307323	-0.3800219	0.3225195	
581.960	412.5228	577.0629	0	19						0.5307345	-0.3800484	0.3225392	
582.000	412.564	577.104	0	19						0.5307316	-0.3800664	0.3225566	
582.019	412.5826	577.1226	0	19						0.5307241	-0.3800894	0.3225727	
582.039	412.6027	577.1428	0	19						0.5307187	-0.3800831	0.3225875	
582.057	412.6213	577.1614	0	19						0.5307152	-0.3800929	0.3225993	
582.077	412.6407	577.1808	0	19						0.5307265	-0.3800752	0.3226033	
582.095	412.6598	577.1998	0	19						0.5307418	-0.380074	0.3225995	
582.119	412.6833	577.2233	0	19						0.5307688	-0.3800719	0.3225881	
582.140	412.7038	577.2439	0	19						0.5307829	-0.3800707	0.3225865	
582.159	412.7232	577.2632	0	19						0.530798	-0.3800609	0.322583	
582.178	412.7413	577.2814	0	19						0.5307902	-0.3800593	0.3225887	
