Time	keytime	time-time	keypress	target id	target_lon	target_lat	target_x	target_y	target_z	hmd_rx	hmd_ry	hmd_rz	
295.132	0.02708227	291.3125	0	8						-0.02030661	-0.001356045	-0.006066309	
295.153	0.04913541	291.3346	0	8						-0.02030589	-0.0007775519	-0.006027174	
295.173	0.06831487	291.3538	0	8						-0.02049522	-0.0002791536	-0.00603655	
295.195	0.09106647	291.3765	0	8						-0.0204328	3.513341E-05	-0.006025857	
295.218	0.1136482	291.3991	0	8						-0.0206257	0.0003974751	-0.006172339	
295.242	0.1370513	291.4225	0	8						-0.02071873	0.0006082093	-0.006203779	
295.263	0.159394	291.4449	0	8						-0.0207525	0.0006622089	-0.006726634	
295.287	0.1823842	291.4678	0	8						-0.02077677	0.0007477581	-0.006677812	
295.306	0.2025821	291.488	0	8						-0.02086833	0.0007212376	-0.006965547	
295.330	0.2252875	291.5107	0	8						-0.02080813	0.000594522	-0.007041288	
295.351	0.2460409	291.5315	0	8						-0.02080671	0.0003493781	-0.007181159	
295.372	0.2683109	291.5538	0	8						-0.02066907	3.652772E-05	-0.007304225	
295.395	0.2905944	291.576	0	8						-0.02060036	-0.0003070224	-0.007157987	
295.419	0.3149223	291.6004	0	8						-0.02048058	-0.0006204928	-0.006986445	
295.440	0.3358226	291.6213	0	8						-0.02042317	-0.0009939101	-0.006762425	
295.464	0.3598807	291.6454	0	8						-0.02019236	-0.0014969	-0.006688735	
295.485	0.3810603	291.6665	0	8						-0.02004495	-0.001735195	-0.006260331	
295.502	0.3988128	291.6843	0	8						-0.01986375	-0.002189906	-0.005903275	
295.519	0.4150321	291.7005	0	8						-0.01957542	-0.002532405	-0.005433295	
295.537	0.4328893	291.7184	0	8						-0.01977375	-0.002724746	-0.005263105	
295.552	0.4481031	291.7336	0	8						-0.01952672	-0.002943584	-0.004817533	
295.565	0.4611528	291.7466	0	8						-0.01941325	-0.003162433	-0.004658997	
295.582	0.4776288	291.7631	0	8						-0.01943804	-0.00321787	-0.004615586	
295.612	0.5074825	291.7929	0	8						-0.01945706	-0.003322192	-0.004409265	
295.628	0.5242236	291.8097	0	8						-0.01936189	-0.003547808	-0.004094304	
295.644	0.5405993	291.826	0	8						-0.01933883	-0.003651148	-0.004082189	
295.661	0.5569557	291.8424	0	8						-0.01930971	-0.003702502	-0.003931318	
295.676	0.5723674	291.8578	0	8						-0.01926315	-0.003716822	-0.003897086	
295.691	0.5875947	291.873	0	8						-0.01922814	-0.003735297	-0.003827566	
295.710	0.6053448	291.8908	0	8						-0.01924194	-0.003729736	-0.003755274	
295.731	0.6264858	291.912	0	8						-0.01914532	-0.003714714	-0.003674009	
295.750	0.6461468	291.9316	0	8						-0.01902307	-0.003543396	-0.003697726	
295.773	0.6692413	291.9547	0	8						-0.01904567	-0.003404657	-0.003704976	
295.796	0.6924954	291.978	0	8						-0.01898021	-0.003258792	-0.003773659	
295.817	0.7126412	291.9981	0	8						-0.01888575	-0.003198876	-0.003806904	
295.839	0.735283	292.0208	0	8						-0.01877184	-0.003123742	-0.003816269	
295.861	0.7570311	292.0425	0	8						-0.01871873	-0.00312126	-0.00381989	
295.884	0.7798471	292.0653	0	8						-0.01861434	-0.003029264	-0.00378824	
295.906	0.8016644	292.0871	0	8						-0.01850639	-0.002965016	-0.003772009	
295.927	0.8227101	292.1082	0	8						-0.01835477	-0.002974198	-0.003718941	
295.951	0.846652	292.1321	0	8						-0.01819334	-0.003046278	-0.003729093	
295.973	0.8695368	292.155	0	8						-0.01791508	-0.003080979	-0.0037519	
295.996	0.8927403	292.1782	0	8						-0.01758544	-0.003142409	-0.003850746	
296.017	0.9131756	292.1986	0	8						-0.01735669	-0.003402937	-0.003946667	
296.043	0.9375284	292.223	0	8						-0.01704966	-0.003610147	-0.003860957	
296.063	0.9590925	292.2446	0	8						-0.01690444	-0.003760005	-0.003825362	
296.087	0.983354	292.2688	0	8						-0.01669202	-0.003918583	-0.003724167	
296.109	1.004184	292.2896	0	8						-0.01642779	-0.00418929	-0.003660363	
296.130	1.026027	292.3115	0	8						-0.01633055	-0.004462376	-0.003542315	
296.152	1.048224	292.3337	0	8						-0.01613957	-0.004637111	-0.003420822	
296.175	1.070957	292.3564	0	8						-0.01608399	-0.004753127	-0.003389573	
296.205	1.100203	292.3857	0	8						-0.01599841	-0.004944517	-0.003224165	
296.221	1.117144	292.4026	0	8						-0.01590173	-0.004998502	-0.003145181	
296.241	1.136899	292.4224	0	8						-0.01592452	-0.004997182	-0.003010866	
296.263	1.158793	292.4442	0	8						-0.01586143	-0.004945106	-0.003048124	
296.286	1.181227	292.4667	0	8						-0.01600117	-0.004735736	-0.003108081	
296.306	1.202647	292.4881	0	8						-0.01590071	-0.0046928	-0.003131225	
296.328	1.224319	292.5098	0	8						-0.01582686	-0.00462787	-0.00302242	
296.352	1.247792	292.5333	0	8						-0.01568712	-0.004556887	-0.002886535	
296.375	1.27111	292.5566	0	8						-0.01544057	-0.004572236	-0.002720919	
296.397	1.292382	292.5779	0	8						-0.01526478	-0.004594292	-0.002541864	
296.419	1.314519	292.6	0	8						-0.01511553	-0.004511195	-0.002493027	
296.440	1.33628	292.6217	0	8						-0.01506118	-0.00451755	-0.002486259	
296.465	1.360823	292.6463	0	8						-0.01497102	-0.004476641	-0.002459234	
296.486	1.382044	292.6675	0	8						-0.0148624	-0.004373167	-0.002489524	
296.508	1.404173	292.6896	0	8						-0.01476731	-0.004229694	-0.002494694	
296.531	1.426612	292.7121	0	8						-0.01482902	-0.003963453	-0.002592104	
296.552	1.448327	292.7338	0	8						-0.01484967	-0.003675233	-0.002749055	
296.575	1.470873	292.7563	0	8						-0.01476254	-0.003348224	-0.002896975	
296.599	1.494019	292.7795	0	8						-0.01474418	-0.003234252	-0.003155605	
296.619	1.514297	292.7997	0	8						-0.01485936	-0.003055374	-0.003321102	
296.642	1.538054	292.8235	0	8						-0.01475424	-0.002995708	-0.003551897	
296.664	1.559709	292.8452	0	8						-0.01483975	-0.003027627	-0.003618065	
296.681	1.577504	292.863	0	8						-0.01474851	-0.003075853	-0.003785988	
296.698	1.593976	292.8794	0	8						-0.01464712	-0.003236226	-0.003912278	
296.714	1.60975	292.8952	0	8						-0.01457471	-0.003269162	-0.003877426	
296.729	1.625464	292.9109	0	8						-0.01442915	-0.003432706	-0.003901001	
296.748	1.644443	292.9299	0	8						-0.01433708	-0.003515351	-0.003921894	
296.766	1.661952	292.9474	0	8						-0.01429482	-0.00356985	-0.003939648	
296.795	1.690565	292.976	0	8						-0.01417669	-0.003633298	-0.003996548	
296.811	1.706796	292.9922	0	8						-0.01396989	-0.003632341	-0.004143862	
296.827	1.723339	293.0088	0	8						-0.01392713	-0.003504571	-0.00415661	
296.842	1.738556	293.024	0	8						-0.01372667	-0.003299619	-0.004063578	
296.859	1.755118	293.0406	0	8						-0.01374069	-0.003173487	-0.004187555	
296.875	1.770973	293.0564	0	8						-0.01369319	-0.003127692	-0.004257491	
296.892	1.787782	293.0732	0	8						-0.0137213	-0.002953318	-0.0043127	
296.907	1.803166	293.0886	0	8						-0.01376542	-0.002689323	-0.004352474	
296.930	1.825712	293.1112	0	8						-0.01381999	-0.002508492	-0.004480802	
296.951	1.847396	293.1328	0	8						-0.0136845	-0.002322108	-0.00470196	
296.973	1.868412	293.1539	0	8						-0.01366348	-0.002141059	-0.004870179	
296.996	1.89141	293.1769	0	8						-0.01331693	-0.002002102	-0.004998166	
297.017	1.912881	293.1983	0	8						-0.01270576	-0.002010911	-0.005141616	
297.039	1.93454	293.22	0	8						-0.01191636	-0.001998356	-0.005282905	
297.062	1.958115	293.2436	0	8						-0.010542	-0.002265964	-0.005705742	
297.085	1.981118	293.2666	0	8						-0.008931671	-0.001863138	-0.005705789	
297.107	2.002232	293.2877	0	8						-0.007243369	-0.002205367	-0.005960436	
297.130	2.025655	293.3111	0	8						-0.005604527	-0.002437502	-0.006323582	
297.152	2.048165	293.3336	0	8						-0.004249588	-0.002694472	-0.006422152	
297.174	2.069704	293.3552	0	8						-0.003044147	-0.002978819	-0.00651063	
297.196	2.091934	293.3774	0	8						-0.002471731	-0.002960108	-0.006520667	
297.218	2.113602	293.3991	0	8						-0.001716674	-0.003065772	-0.006573702	
297.240	2.135659	293.4211	0	8						-0.001218728	-0.003476419	-0.006951416	
297.262	2.158477	293.4439	0	8						-0.001015784	-0.003247368	-0.007029978	
297.285	2.180387	293.4659	0	8						-0.0004921411	-0.003398727	-0.007303343	
297.306	2.202682	293.4881	0	8						-0.0002603926	-0.003139673	-0.007500174	
297.340	2.235072	293.5205	0	8						-0.0002368862	-0.003108643	-0.007726371	
297.357	2.252841	293.5383	0	8						-0.0003030947	-0.002936106	-0.008069294	
297.374	2.269264	293.5547	0	8						-0.0004128229	-0.002761677	-0.008189573	
297.394	2.289743	293.5752	0	8						-0.0008228802	-0.002629221	-0.008154721	
297.417	2.313151	293.5986	0	8						-0.001152002	-0.002468547	-0.008354208	
297.438	2.334148	293.6196	0	8						-0.00165902	-0.002231149	-0.008464895	
297.463	2.358393	293.6439	0	8						-0.001702707	-0.002134736	-0.008461481	
297.483	2.379296	293.6648	0	8						-0.001892125	-0.001978618	-0.008349137	
297.506	2.402557	293.688	0	8						-0.001925465	-0.001956465	-0.008285372	
297.531	2.426092	293.7115	0	8						-0.001969432	-0.001858578	-0.008103753	
297.551	2.447638	293.7331	0	8						-0.002026825	-0.001817359	-0.007857124	
297.576	2.471614	293.7571	0	8						-0.001974388	-0.001831896	-0.007687	
297.598	2.493522	293.779	0	8						-0.001803324	-0.001888661	-0.007463066	
297.620	2.515505	293.801	0	8						-0.001665179	-0.001750826	-0.007128946	
297.643	2.539001	293.8245	0	8						-0.0009609067	-0.00197334	-0.006608066	
297.665	2.560377	293.8458	0	8						-0.0006453843	-0.002190925	-0.006044968	
297.685	2.581398	293.8669	0	8						0.0001251558	-0.002365428	-0.005543854	
297.708	2.604224	293.8897	0	8						0.0004412732	-0.002437117	-0.004799783	
297.729	2.6248	293.9102	0	8						0.001019602	-0.002683286	-0.004375546	
297.752	2.647399	293.9329	0	8						0.001209826	-0.002739128	-0.003965493	
297.774	2.669987	293.9554	0	8						0.001490708	-0.002997429	-0.003014978	
297.802	2.669987	293.9796	1	17	120	30	-0.225	0.15	-0.1299038	-0.04818108	-0.005809171	-0.06116716	
297.802	2.694119	293.9796	0	17						0.001381863	-0.003321591	-0.002477652	
297.820	2.716079	294.0015	0	17						0.001202321	-0.003003475	-0.002059477	
297.843	2.739315	294.0248	0	17						0.001017619	-0.002995406	-0.001686755	
297.862	2.757957	294.0434	0	17						0.0008950327	-0.002957315	-0.001553202	
297.882	2.778178	294.0636	0	17						0.0006622878	-0.002680323	-0.001448268	
297.900	2.795626	294.0811	0	17						0.0005743956	-0.00266202	-0.001529449	
297.918	2.814349	294.0998	0	17						0.0004257977	-0.002480101	-0.001579317	
297.949	2.84469	294.1302	0	17						0.0002506502	-0.002314671	-0.001736294	
297.965	2.860922	294.1464	0	17						2.887497E-05	-0.002267858	-0.001896085	
297.982	2.878401	294.1638	0	17						-0.0002874375	-0.002103488	-0.001990758	
298.000	2.895597	294.1811	0	17						-0.0005339393	-0.001948306	-0.002144533	
298.017	2.913713	294.1992	0	17						-0.0009322212	-0.001615102	-0.002418199	
298.039	2.935309	294.2208	0	17						-0.00136766	-0.001385217	-0.002698289	
298.064	2.960006	294.2455	0	17						-0.00195253	-0.0009330304	-0.002740657	
298.082	2.978675	294.2641	0	17						-0.002442374	-0.0007302653	-0.00283729	
298.108	3.004356	294.2898	0	17						-0.003009158	-0.0002894901	-0.002458675	
298.129	3.025252	294.3107	0	17						-0.003621952	-0.0005003111	-0.002510218	
298.151	3.04733	294.3328	0	17						-0.004508474	-0.0004012718	-0.002003496	
298.175	3.071125	294.3566	0	17						-0.005258073	-0.0001781031	-0.001933802	
298.196	3.092492	294.378	0	17						-0.006115804	0.0005007691	-0.00208419	
298.216	3.111668	294.3971	0	17						-0.006993088	0.001518971	-0.002850204	
298.241	3.136526	294.422	0	17						-0.007413755	0.00284435	-0.003512702	
298.261	3.157218	294.4427	0	17						-0.007999273	0.003451724	-0.00443949	
298.284	3.179419	294.4649	0	17						-0.007987391	0.005403057	-0.005703689	
298.306	3.202617	294.4881	0	17						-0.008101928	0.008354221	-0.006566358	
298.328	3.223676	294.5091	0	17						-0.008225455	0.01091148	-0.008007334	
298.352	3.248013	294.5335	0	17						-0.008389169	0.0136511	-0.009045134	
298.373	3.269233	294.5547	0	17						-0.008372253	0.01711819	-0.01040732	
298.398	3.293887	294.5793	0	17						-0.008595043	0.0204228	-0.01128002	
298.417	3.31374	294.5992	0	17						-0.007999276	0.02267428	-0.01232264	
298.442	3.337624	294.6231	0	17						-0.007508884	0.02532235	-0.01319482	
298.463	3.358193	294.6436	0	17						-0.006183059	0.0294165	-0.01446921	
298.487	3.382371	294.6678	0	17						-0.005033016	0.0355691	-0.0157078	
298.507	3.40289	294.6884	0	17						-0.003742256	0.04433718	-0.01788459	
298.531	3.426934	294.7124	0	17						-0.002483061	0.05566461	-0.02006421	
298.563	3.459011	294.7445	0	17						-0.001105136	0.07083936	-0.02223319	
298.582	3.478162	294.7636	0	17						-0.0004449141	0.08872542	-0.02405976	
298.599	3.495138	294.7806	0	17						-0.0002004695	0.1065027	-0.02583502	
298.617	3.513517	294.799	0	17						0.0003204781	0.1253283	-0.0280078	
298.638	3.534474	294.8199	0	17						-0.0001614289	0.1462139	-0.02922494	
