Time	keytime	time-time	keypress	target id	target_lon	target_lat	target_x	target_y	target_z	hmd_rx	hmd_ry	hmd_rz	
1198.175	12.96271	1196.459	0	2						0	0	0	
1198.206	12.99417	1196.491	0	2						0	0	0	
1198.237	13.02574	1196.522	0	2						0	0	0	
1198.270	13.05902	1196.556	0	2						0	0	0	
1198.304	13.09244	1196.589	0	2						0	0	0	
1198.356	13.14392	1196.641	0	2						0	0	0	
1198.388	13.17727	1196.674	0	2						0	0	0	
1198.420	13.20924	1196.706	0	2						0	0	0	
1198.454	13.24219	1196.739	0	2						0	0	0	
1198.487	13.27579	1196.772	0	2						0	0	0	
1198.555	13.34269	1196.839	0	2						0	0	0	
1198.588	13.37566	1196.872	0	2						0	0	0	
1198.621	13.41023	1196.907	0	2						0	0	0	
1198.654	13.44223	1196.939	0	2						0	0	0	
1198.687	13.47565	1196.972	0	2						0	0	0	
1198.720	13.50923	1197.006	0	2						0	0	0	
1198.754	13.54273	1197.039	0	2						0	0	0	
1198.787	13.57578	1197.072	0	2						0	0	0	
1198.820	13.60882	1197.105	0	2						0	0	0	
1198.868	13.65635	1197.153	0	2						0	0	0	
1198.890	13.67844	1197.175	0	2						0	0	0	
1198.922	13.71079	1197.207	0	2						0	0	0	
1198.955	13.74279	1197.239	0	2						0	0	0	
1198.990	13.77728	1197.274	0	2						0	0	0	
1199.026	13.81359	1197.31	0	2						0	0	0	
1199.054	13.84299	1197.34	0	2						0	0	0	
1199.089	13.8768	1197.373	0	2						0	0	0	
1199.121	13.90932	1197.406	0	2						0	0	0	
1199.157	13.94527	1197.442	0	2						0	0	0	
1199.187	13.97601	1197.473	0	2						0	0	0	
1199.223	14.01131	1197.508	0	2						0	0	0	
1199.263	14.05123	1197.548	0	2						0	0	0	
1199.288	14.07642	1197.573	0	2						0	0	0	
1199.320	14.10908	1197.606	0	2						0	0	0	
1199.354	14.1428	1197.639	0	2						0	0	0	
1199.404	14.19209	1197.689	0	2						0	0	0	
1199.437	14.22561	1197.722	0	2						0	0	0	
1199.470	14.25858	1197.755	0	2						0	0	0	
1199.503	14.29204	1197.789	0	2						0	0	0	
1199.536	14.32522	1197.822	0	2						0	0	0	
1199.570	14.35942	1197.856	0	2						0	0	0	
1199.603	14.39179	1197.888	0	2						0	0	0	
1199.637	14.42582	1197.922	0	2						0	0	0	
1199.670	14.45897	1197.956	0	2						0	0	0	
