Time	keytime	time-time	keypress	target id	target_lon	target_lat	target_x	target_y	target_z	hmd_rx	hmd_ry	hmd_rz	
9.205	0.4690191	5.411203	0	3						0.2065656	-0.008912453	-0.009681658	
9.225	0.4900731	5.432258	0	3						0.2065115	-0.008834139	-0.009918336	
9.244	0.5098981	5.452083	0	3						0.2064141	-0.0087953	-0.0100205	
9.267	0.5322858	5.47447	0	3						0.2063724	-0.008586581	-0.01018192	
9.288	0.5537404	5.495925	0	3						0.2063749	-0.008579668	-0.01047497	
9.311	0.5767698	5.518954	0	3						0.2064158	-0.008448783	-0.0106941	
9.333	0.5987874	5.540972	0	3						0.2064404	-0.008278077	-0.01088389	
9.355	0.6205292	5.562714	0	3						0.2064668	-0.00846024	-0.01126581	
9.378	0.6428502	5.585034	0	3						0.2064528	-0.008434499	-0.01150259	
9.402	0.6676276	5.609812	0	3						0.2065229	-0.008385998	-0.01180717	
9.424	0.688957	5.631141	0	3						0.2064986	-0.008426069	-0.0123191	
9.443	0.7088622	5.651046	0	3						0.2067148	-0.008536641	-0.01254996	
9.468	0.7335342	5.675718	0	3						0.2065797	-0.008513671	-0.01288338	
9.489	0.7547849	5.696969	0	3						0.2064625	-0.008542913	-0.01316585	
9.510	0.7755051	5.71769	0	3						0.206353	-0.008629505	-0.01343281	
9.533	0.7978273	5.740012	0	3						0.206248	-0.008710809	-0.01362387	
9.554	0.8200622	5.762247	0	3						0.205973	-0.008583063	-0.0138045	
9.577	0.8423926	5.784577	0	3						0.2056265	-0.008578422	-0.01403468	
9.601	0.8663183	5.808503	0	3						0.205634	-0.008393558	-0.01419005	
9.622	0.8878638	5.830048	0	3						0.2053153	-0.008318973	-0.01418891	
9.645	0.9100754	5.85226	0	3						0.2048388	-0.008315948	-0.01429037	
9.668	0.9337478	5.875932	0	3						0.2048562	-0.008290141	-0.01439502	
9.690	0.9550156	5.8972	0	3						0.2044577	-0.008219453	-0.01442011	
9.714	0.9791459	5.92133	0	3						0.204244	-0.007963799	-0.01455005	
9.734	0.9997235	5.941908	0	3						0.203966	-0.007833167	-0.0146203	
9.758	1.02276	5.964945	0	3						0.2037448	-0.007604038	-0.01468985	
9.780	1.04549	5.987675	0	3						0.2036597	-0.007408996	-0.01473689	
9.803	1.068669	6.010853	0	3						0.2035259	-0.007336383	-0.01491939	
9.825	1.090281	6.032465	0	3						0.2035339	-0.007305393	-0.01505374	
9.847	1.111838	6.054022	0	3						0.2035994	-0.007353517	-0.01527246	
9.869	1.133973	6.076157	0	3						0.2037644	-0.007486852	-0.01542788	
9.892	1.156808	6.098992	0	3						0.2039621	-0.007633819	-0.01553649	
9.913	1.177905	6.120089	0	3						0.2039724	-0.007614292	-0.01565499	
9.935	1.200715	6.142899	0	3						0.2041806	-0.007544798	-0.01590373	
9.957	1.223013	6.165197	0	3						0.204122	-0.007634232	-0.01599357	
9.978	1.244229	6.186413	0	3						0.2040672	-0.007671525	-0.01608501	
10.003	1.267847	6.210032	0	3						0.2039552	-0.007691565	-0.01625455	
10.024	1.289208	6.231393	0	3						0.2039026	-0.007733905	-0.01643119	
10.045	1.31096	6.253144	0	3						0.2038354	-0.007741069	-0.01642864	
10.069	1.334569	6.276753	0	3						0.2038309	-0.007903059	-0.01650826	
10.091	1.356477	6.298661	0	3						0.2038959	-0.007847819	-0.01668667	
10.114	1.378759	6.320943	0	3						0.2040036	-0.007796004	-0.0166749	
10.146	1.410317	6.352501	0	3						0.2040551	-0.00777575	-0.01673792	
10.164	1.429267	6.371451	0	3						0.2040836	-0.007814269	-0.01677029	
10.181	1.447084	6.389269	0	3						0.2040568	-0.007849226	-0.01682953	
10.201	1.466804	6.408988	0	3						0.2038612	-0.007754258	-0.01687945	
10.221	1.486709	6.428894	0	3						0.2037481	-0.007769731	-0.01689594	
10.240	1.506007	6.448192	0	3						0.2036348	-0.007748304	-0.01681821	
10.259	1.524891	6.467075	0	3						0.2034477	-0.00768665	-0.01695274	
10.277	1.543382	6.485566	0	3						0.203429	-0.007598422	-0.0171059	
10.296	1.561745	6.50393	0	3						0.2033092	-0.007601081	-0.01710001	
10.315	1.580631	6.522815	0	3						0.2033077	-0.007666004	-0.01711833	
10.336	1.601745	6.54393	0	3						0.2033141	-0.00759221	-0.01708334	
10.359	1.624731	6.566916	0	3						0.2032427	-0.00766788	-0.01705977	
10.379	1.644798	6.586983	0	3						0.2031936	-0.007660639	-0.01702552	
