Time	keytime	target id	target_lon	target_lat	target_y	target_z	target_x	hmd_rx	hmd_ry	hmd_rz	
106.015	7.604076	3	120	0	0	-0.5000001	-0.8660254	-0.00830199	0.007082169	-0.00766476	
106.025	7.611621	3	120	0	0	-0.5000001	-0.8660254	-0.008346329	0.007093585	-0.007682616	
106.032	7.622341	3	120	0	0	-0.5000001	-0.8660254	-0.008408576	0.007111224	-0.007709562	
106.042	7.628444	3	120	0	0	-0.5000001	-0.8660254	-0.008444047	0.007122764	-0.007727021	
106.056	7.641915	3	120	0	0	-0.5000001	-0.8660254	-0.008529536	0.007174541	-0.007794974	
106.064	7.651982	3	120	0	0	-0.5000001	-0.8660254	-0.00859377	0.007224893	-0.007859436	
106.075	7.661572	3	120	0	0	-0.5000001	-0.8660254	-0.008647249	0.007281996	-0.007930453	
106.087	7.673832	3	120	0	0	-0.5000001	-0.8660254	-0.008706301	0.007361718	-0.008028015	
106.093	7.682967	3	120	0	0	-0.5000001	-0.8660254	-0.008732981	0.007412774	-0.008091619	
106.100	7.68953	3	120	0	0	-0.5000001	-0.8660254	-0.008758472	0.007479025	-0.00816793	
106.110	7.696168	3	120	0	0	-0.5000001	-0.8660254	-0.008771271	0.007518215	-0.008214232	
106.122	7.708807	3	120	0	0	-0.5000001	-0.8660254	-0.00878635	0.007585952	-0.008293545	
106.130	7.719692	3	120	0	0	-0.5000001	-0.8660254	-0.008796815	0.007627223	-0.008342097	
106.142	7.727984	3	120	0	0	-0.5000001	-0.8660254	-0.008804862	0.007638109	-0.008355546	
106.149	7.739035	3	120	0	0	-0.5000001	-0.8660254	-0.008819906	0.007640742	-0.008360242	
106.159	7.745345	3	120	0	0	-0.5000001	-0.8660254	-0.008830329	0.007628478	-0.008347554	
106.165	7.755429	3	120	0	0	-0.5000001	-0.8660254	-0.008836986	0.007611034	-0.008328352	
106.177	7.761583	3	120	0	0	-0.5000001	-0.8660254	-0.008839631	0.007602146	-0.008318484	
106.188	7.774021	3	120	0	0	-0.5000001	-0.8660254	-0.008830198	0.007601307	-0.008316388	
106.195	7.78522	3	120	0	0	-0.5000001	-0.8660254	-0.008813132	0.007609712	-0.008324003	
106.207	7.793059	3	120	0	0	-0.5000001	-0.8660254	-0.008789603	0.007620565	-0.008333599	
106.214	7.80422	3	120	0	0	-0.5000001	-0.8660254	-0.008745393	0.007637577	-0.008347836	
106.223	7.809771	3	120	0	0	-0.5000001	-0.8660254	-0.008720163	0.007643094	-0.008351169	
106.230	7.820196	3	120	0	0	-0.5000001	-0.8660254	-0.008673282	0.007651356	-0.008355099	
106.242	7.82703	3	120	0	0	-0.5000001	-0.8660254	-0.008644235	0.00765493	-0.008355111	
106.248	7.838031	3	120	0	0	-0.5000001	-0.8660254	-0.008586337	0.007658287	-0.008352847	
106.258	7.8445	3	120	0	0	-0.5000001	-0.8660254	-0.008553158	0.007656668	-0.008346691	
106.265	7.854405	3	120	0	0	-0.5000001	-0.8660254	-0.008500215	0.007650607	-0.008334033	
106.275	7.861151	3	120	0	0	-0.5000001	-0.8660254	-0.008471921	0.007648327	-0.008327556	
106.283	7.872182	3	120	0	0	-0.5000001	-0.8660254	-0.008410642	0.007644629	-0.008316884	
